ID,Event Name,Event location,Event Date,Submission deadline,Notification deadline,Conference,Journal
0,The International Conference on Computing,"Dubai, UAE","April 9, 2014","March 20, 2014","March 25, 2014",1,0
1,"The First International Conference on Green Computing, Technology and Innovation",Malaysia,"March 4, 2013","Dec. 15, 2012","Jan. 1, 2013",1,0
2,2016 IEEE World Congress on Computational Intelligence,"Vancouver, Canada","July 25, 2016","January 15, 2016","March 15, 2016",0,0
3,Asia-Pacific Conference on Engineering and Applied Science,"Phuket, Thailand","Dec 26, 2019",N/A,N/A,1,0
4,Global Engineering & Applied Science Conference,Tokyo,N/A,N/A,N/A,1,0
5,2019 IEEE International Symposium on Technology and Society,Boston,"Nov 15, 2019","August 16, 2019","September 16, 2019",0,0
6,Asia Conference on Engineering and Information International Symposium on Fundamental and Applied Sciences,"Taipei, Taiwan","Jun 1, 2020","February 5, 2020",N/A,1,0
7,2020 AI Conference,"Taipei, Taiwan","Jun 1, 2020","February 5, 2020","February 19, 2020",1,0
8,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece","May 18, 2020","October 14, 2019",N/A,1,0
9,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece","May 18, 2020","October 14, 2019",N/A,1,0
10,10th International Congress on Engineering and Information,"Fukuoka, Japan","May 6, 2020","January 15, 2020",N/A,0,0
11,2020 Green Tech Conference/Region 5 Business Meeting and Student Competitions,N/A,"April 1, 2020",N/A,N/A,1,0
12,9th International Congress on Natural Science and Engineering,"Nagoya, Japan","January 20, 2020","October 23, 2019","October 15, 2019",0,0
13,7th Annual Conference on Engineering and Information Technology,"Osaka, Japan","March 24, 2020","December 15, 2019","December 24, 2019",1,0
14,Fifth International Congress on Information and Communication Technology,"London, United Kingdom","February 20, 2020","January 10, 2020",N/A,0,0
15,2014 International Conference on Advanced Management Science and Information Engineering,Hong Kong,"December 25, 2014","October 22, 2014",N/A,1,0
16,AAAI-15 AI Open House,"Austin, Texas","January 26, 2015","November 9, 2014","November 10, 2014",0,0
17,ACM Computing Surveys,N/A,N/A,N/A,N/A,0,0
18,ACM Transactions on Parallel Computing,N/A,N/A,N/A,N/A,0,0
19,ACM Transactions on Quantum Computing,N/A,N/A,N/A,N/A,0,0
20,ACM Transactions on Social Computing,<none>,,,,0,0
21,5th International Conference on Education Science and Development (ICESD 2020),"Bangkok, Thailand","January 6, 2020","August 28, 2019",,1,0
22,2020 Communication Technologies and Cloud Computing Conference (CTCCC 2020),UK,"March 19, 2020",,,1,0
23,The Annual Conference on Engineering and Natural Sciences (ACENS),"Bangkok, Thailand","February 5, 2020",,,1,0
24,Global Journal of Engineering Science and Research Management (GJESRM,<none>,,"July 5, 2019",,0,1
25,2015 International Conference on Intelligent Computing and Internet of Things (ICICIT 2015),Harbin,"January 17, 2015","December 10, 2014","December 20, 2014",1,0
26,19th IEEE International Symposium on Signal Processing and Information Technology (ISSPIT 2019).,Ajman,"December 10, 2019","September 30, 2019","October 30, 2019",0,0
27,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
28,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
29,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","January 30, 2013","December 15, 2013","January 1, 2013",1,0
30,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing (CSCE'19: USA)","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",0,0
31,The International Conference on E-Learning and E-Technologies in Education (ICEEE),"Lodz, Poland","September 24, 2012","August 10, 2012","August 25, 2012",1,0
32,The International Conference on Informatics & Applications (ICIA2012),"Kuala Terengganu, Malaysia","July 3, 2012","April 5, 2012","May 2, 2012",1,0
33,The World Congress on E-Commerce and Business on the Web (WCEBW2012),UK,"August 27, 2012",,,0,0
34,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",1,0
35,The World Congress on E-commerce and Business on the Web (WCEBW2012),"London, United Kingdom","August 27, 2012","July 10, 2012","August 10, 2012",0,0
36,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand","May 16, 2012","March 10, 2012","April 1, 2012",1,0
37,The 10th IEEE Annual Computing and Communication Workshop and Conference (IEEE CCWC 2020),"Las Vegas, USA","January 6, 2020","October 31, 2020","November 30, 2020",1,0
38,"The IEEE 10th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (IEEE UEMCON 2019)","New York, USA","October 10, 2019","August 7, 2019","September 5, 2019",1,0
39,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Delhi/NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
40,7th International Conference on Signal Processing and Integrated Networks,"Delhi/NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
41,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India","February 27, 2020","November 11, 2019","December 9, 2019",1,0
42,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India","February 27, 2020","December 16, 2019","December 26, 2019",1,0
43,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP 2014),"Bangkok, Thailand","May 6, 2014","April 6, 2014","April 15, 2014",1,0
44,The Fourth International Conference on e-Learning (ICEL 2013),Czech Republic,"July 8, 2013","May 10, 2013",,1,0
45,The Fourth International Conference on e-Learning (ICEL 2013),Czech Republic,"July 8, 2013","May 30, 2013",,1,0
46,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","Dec. 15, 2012","January 1, 2013",1,0
47,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","Dec. 15, 2012","January 1, 2013",1,0
48,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),Czech Republic,"July 8, 2013","May 10, 2013",,1,0
49,The International Conference on E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013",1,0
50,E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013",0,0
51,The International Conference on Computing Technology and Information Management (ICCTIM2014),"Dubai, UAE","April 10, 2014","March 10, 2014","March 20, 2014",1,0
52,International Journal of Education (IJE),,,"December 21, 2019","December 27, 2019",0,1
53,Fourth International Conference on Information and Communication Technology for Competitive Strategies (ICTCS-2019),"Udaipur, Rajasthan, India","December 13, 2019","September 30, 2019",,1,0
54,Fourth International Conference on Information and Communication Technology for Competitive Strategies (ICTCS-2019),"Udaipur, Rajasthan, India","December 13, 2019","September 30, 2019",,1,0
55,"The International Conference on Computing, Networking and Digital Technologies(ICCNDT 2012)",Bahrain,"November 11, 2012","Sep. 25, 2012","October 10, 2012",1,0
56,Symposium on Innovation-Entrepreneurship and their relationships with Cybernetics and Informatics,"Orlando, Florida, USA","March 10, 2015","October 28, 2014",,0,0
57,The 2019 International Conference on Computational Science and Computational Intelligence (CSCI),"Las Vegas, USA","December 5, 2019","October 6, 2019","October 18, 2019",1,0
58,"The International Conference on Cyber Security, Cyber Warfare and Digital Forensic (CyberSec2012)","Kuala Lumpur, Malaysia","June 26, 2012","April 30, 2012","May 15, 2012",1,0
59,The Second International Conference on E-Technologies and Business on the Web (EBW2014),"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 4, 2014",1,0
60,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013","May 10, 2013",,1,0
61,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013","May 10, 2013","June 7, 2013",1,0
62,3rd ICEEE2014,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 4, 2014",0,0
63,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP2014),"Bangkok, Thailand","May 6, 2014","April 6, 2014","April 15, 2014",1,0
64,BIOCOMP'19,"Las Vegas, USA","July 19, 2019","June 20, 2019","June 27, 2019",0,0
65,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
66,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013",,,1,0
67,The Second International Conference on Informatics & Applications (ICIA2013),"Lodz, Poland","September 23, 2013",,,1,0
68,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic","July 8, 2013",,,1,0
69,"The International Conference on Digital Information Networking, and Wireless Communications (DINWC2014)","Ostrava, Czech Republic","June 24, 2014",,,1,0
70,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC 2013)","Dubai, UAE","October 23, 2013","September 1, 2013","September 15, 2013",1,0
71,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC2013)","Dubai, UAE","October 23, 2013","October 15, 2013","October 18, 2013",1,0
72,International Conference on Digital Security and Forensics (DigitalSec2014),"Ostrava, Czech Republic","June 24, 2014","May 25, 2014","June 5, 2014",1,0
73,The Second International Conference on E-Learning and E-Technologies in Education (ICEEE2013),"Lodz, Poland","September 23, 2013",,,1,0
74,The Second International Conference on e-Technologies and Networks for Development (ICeND 2013),Malaysia,"March 4, 2013","December 15, 2012","January 1, 2013",1,0
